                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.3159,                 1.1493,                 1.2961,                0.45322,                0.26116,                0.23896,                0.10626,                 2.2045,                 2.3001,                 2.1092,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.2149,                 1.0635,                 1.2554,                0.38779,                0.27107,                0.23034,                0.10121,                 2.1881,                 2.3139,                 2.1008,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.2873,                 1.0869,                 1.2908,                0.40835,                0.24628,                0.22772,                0.09515,                 2.1942,                 2.3649,                  2.058,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.2261,                   1.02,                 1.2494,                0.42975,                0.24298,                0.22573,                0.09404,                 2.2123,                 2.3875,                 2.0862,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.2665,                 1.0649,                 1.2718,                0.37748,                 0.2595,                0.22095,                0.09035,                  2.251,                 2.4393,                  2.175,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.2777,                 1.0427,                 1.2783,                0.46892,                0.23802,                0.22865,                0.09199,                 2.2662,                 2.3801,                 2.1991,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.2245,                0.99707,                 1.2422,                0.44274,                0.25455,                0.23513,                0.09901,                  2.212,                 2.3731,                 2.1284,               0.000614,               0.000614,               0.000614
                    142,                 1.1894,                0.99176,                 1.2396,                0.42902,                0.25455,                0.23711,                0.09925,                 2.2283,                 2.3521,                 2.1556,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.1909,                0.99834,                 1.2256,                0.43058,                0.24628,                0.22384,                0.09203,                  2.267,                 2.3922,                 2.1607,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.2154,                 1.0053,                 1.2409,                0.47435,                0.23636,                0.22852,                0.09716,                  2.183,                 2.4472,                 2.1098,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.2099,                 1.0017,                  1.229,                0.46804,                0.24298,                0.23044,                0.09819,                 2.2127,                 2.5048,                 2.1598,              0.0005744,              0.0005744,              0.0005744
                    146,                 1.1703,                0.99159,                 1.2327,                0.42845,                0.23306,                0.22197,                0.09279,                 2.2201,                 2.5095,                 2.1743,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.2302,                 1.0146,                 1.2443,                0.43851,                0.24793,                0.22822,                0.09557,                 2.2015,                 2.5662,                 2.1457,              0.0005546,              0.0005546,              0.0005546
